id,seq,line,newspaper,month,day,page,column,type,init
47,seq31,32,L,6,15,4,4,"", - Resolution by Mr. Roberts adopted: That the finance
48,seq31,36,L,1,4,4,7,"", - Markets are reported steady and firm this morning.
49,seq32,3,L,1,6,4,7,"", - Markets quiet and steady. New York and Chicago .
50,seq32,9,L,1,16,4,3,adv, - The TRIBUNE ALMANAC for 1864 contains complete
51,seq32,14,L,3,30,4,4,""," - ""We have received from Little, Brown, & Co.,"
52,seq32,19,L,4,20,4,8,adv," - The Metropolitan Gift Book store, No. 140"
53,seq32,23,L,5,23,4,4,"", - No department of the book trade is more flourishing
54,seq32,27,L,6,22,4,5,"", - HISTORY OF THE REBELLION. -
55,seq32,31,L,6,22,4,5,"", - PRESIDENT LINCOLN'S ADMINSTRATION - A history of
56,seq32,35,L,6,22,4,5,""," - THE MAINE WOODS, written by Henry Thoreau, gives a"
57,seq32,38,L,6,22,4,5,""," - JANUARY AND JUNE, by Benjamin F. Taylor, consists"
58,seq33,3,L,6,24,4,4,""," - POEMS, by Henry Peterson, is a handsome little volume"
59,seq33,6,L,6,24,4,4,""," - MAINSTONE'S HOUSEKEEPER, by Eliza Neteyard, is"
60,seq33,9,L,6,24,4,4,""," - A WOMAN'S PHILOSOPHY OF WOMAN, was written by"
61,seq33,13,L,6,24,4,4,""," - LINNET'S TRIAL, by S. M., (no name) is well written,"
62,seq33,16,L,6,24,4,4,""," - OUT IN THE WORLD, was written by T. S. Arthur, who"
63,seq33,20,L,6,24,4,4,""," - HOTSPUR, by Mansfield T. Walworth, is badly written"
64,seq33,23,L,6,24,4,4,""," - MEMORIAI. OF THE REW. BIRD WILSON, by A. White"
65,seq33,27,L,6,30,4,5,""," - MACARIA, was written by Augusta J. Evans, the author"
66,seq33,31,L,7,1,3,7,adv," - Photograph Albums, Books and Stationery, J. B."
67,seq33,33,L,12,13,4,4,adv, - A statistician gives the following report on
68,seq34,7,L,2,6,4,3,""," - Drunken soldiers stopped in front of the Weddell House,"
69,seq34,12,L,2,8,4,3,""," - The five soldiers, in the disturbance on Feb. 5, were"
70,seq34,16,L,2,16,4,2,"", - A soldier of the 107th Ohio was arrested for firing
71,seq34,19,L,2,19,4,3,"", - Police broke up a fight of drunken rowdies in P. - -
72,seq34,22,L,2,29,2,2,""," – A drunken soldier, creating a disturbance in the post"
73,seq34,26,L,3,5,4,5,"", - A recruiting sergeant went into the Rainbow saloon
74,seq34,30,L,8,6,4,2,""," - William Hassard and Joseph Thompson, Negroes, were"
75,seq34,35,L,1,21,2,2,ed, - The WORLD and imitators were getting ready for an
76,seq35,8,L,6,21,2,2,ed," - ""There are some Congressmen whose readiness to"
77,seq35,14,L,1,19,4,2,"", - The new bridge across the canal at the foot of Eagle
78,seq35,17,L,2,10,4,4,"", - The following resolution was presented by Mr. Hunting-
79,seq35,21,L,4,4,4,3,""," - The railroad bridge across the Cuyahoga, connecting"
80,seq35,25,L,4,20,4,4,"", - The following resolution was introduced in city coun-
81,seq35,30,L,5,25,4,5,"", - The following resolution presented by Mr. Truscott was
82,seq35,33,L,6,10,4,4,"", - The new Columbus st. swing bridge across the Cuyahoga
83,seq35,39,L,6,14,4,3,""," - The Canal bridge on Vineyard st., now impassable, is"
84,seq36,4,L,6,16,4,2,"", - The Canal bridge on Merwin st. is being repaired.
85,seq36,6,L,8,13,4,4,"", - No communication is possible between the city and the
86,seq36,10,L,9,1,4,3,"", - The city council met last night and adopted the fol-
87,seq36,14,L,9,8,4,3,"", - A resolution was adopted by the city council author-
88,seq36,21,L,12,5,4,5,"", - Foundation work on the new Seneca st. bridge is pro-
90,seq36,34,L,3,10,4,2,""," - Three large buildings, each three stories high and"
91,seq36,39,L,1,16,4,2,""," - The police arrested a Negro, John Moore. They found"
92,seq36,42,L,1,16,4,3,""," - The house of Junius Johnson, 27 Ohio st., was entered"
93,seq37,4,L,2,10,4,5,""," - The grand jury indicted Will is Hildreth for burglary,"
94,seq37,6,L,3,3,4,2,"", - The store of F. H. Cannon at Bedford was entered by
95,seq37,9,L,3,3,4,2,"", - Burglars entered a Mr. Eckhart's house at 230 Superior
93,seq37,12,L,3,4,4,3,"", - Thieves removed a quantity of clothes from the house
97,seq37,15,L,3,4,3,4,"", - Thieves entered the house of Robert Knight on Kinsman
98,seq37,17,L,3,8,4,4,"", - The packing house of H. M. Chapin and Company was
99,seq37,19,L,3,12,4,3,"", - A daring attempt was made to rob the safe of the
100,seq37,23,L,3,12,4,3,"", - The house of a Mr. Black was entered on the night of
101,seq37,25,L,3,12,4,3,"", - The office of Captain Douglass in the custom-house
102,seq37,28,L,3,12,4,3,""," - The clothing store of H. Seaman on Bank st. , was"
103,seq37,31,L,3,14,4,2,"", - The house of the Revererd Avery was entered and
104,seq37,34,L,3,16,4,4,"", - Freight was stolen in the Cleveland flats from several
105,seq38,4,L,3,23,4,3,""," - Mr. Mueller, a saloon keeper on Columbus rd., was ."
106,seq38,7,L,3,25,4,3,"", - The carpet store of Beckwith and Company on Superior
107,seq38,12,L,3,26,4,3,"", - Four men were arrested on the charge of robbing
108,seq38,16,L,3,26,4,4,"", - The office of W. G. Scofield and Company on St.
109,seq38,20,L,3,29,4,3,"", - The liquor store of Hillard and Hatch on River st.
110,seq38,22,L,4,2,4,2,""," - The house of Mrs. Granger on State st., west side,"
111,seq38,24,L,4,25,4,2,"", - Poole and Johns hardware store was burglariously .
112,seq38,29,L,5,4,4,2,"", - The gang that broke in and blew up the treasurer's safe
113,seq38,32,L,5,18,4,3,"", - A safe was blown at the tobacco works of John Lyman
114,seq38,38,L,6,10,4,2,""," - Woolson, Hitchcock, and Carter's stove warehouse on"
115,seq39,4,L,6,25,4,4,"", - Northrop's store on Lake st. was robbed of $30 on
116,seq39,6,L,7,6,1,8,"", - The confectionery store of Joseph Norseldorfer at the
117,seq39,9,L,7,11,4,2,"", - Thieves entered the Euclid st. station house of the
118,seq39,11,L,7,20,4,3,""," - Burglars entered the house of L. L. Lyon, Summit st.,"
119,seq39,14,L,7,20,4,3,"", - Charles Reinkenberger and George Hoyt were arrested
120,seq39,17,L,7,20,4,3,""," - A woman burglar was leaving the house of L. J. Rider,"
121,seq39,20,L,7,21,4,1,""," - Burglars entered the house of Dr. Lyon, Bond and St."
122,seq39,23,L,7,26,4,3,ed," - The west side, usually very quiet, has been"
123,seq39,31,L,7,29,4,3,"", - Francis Gibson was arrested on the charge of burglar-
124,seq39,33,L,8,3,3,2,""," - Burglars entered the store of J. M. and H. T. Hower,"
125,seq39,36,L,8,6,4,3,"", - Detective Sheriff Whitney assisted in the arrest of
126,seq40,4,H,8,15,3,7,""," - Two hotel thieves, George Mason (Munson) and a Mr."
127,seq40,10,L,8,20,4,3,""," - The harness shop of Nathan Post, East Cleveland, was"
128,seq40,12,L,9,5,4,2,"", - The shoe shop of G. Raney in Bedford was robbed cf
129,seq40,14,L,9,8,4,5,"", - A young girl giving the name of Caspar was discovered
131,seq40,20,L,9,19,4,2,"", - The law office of Lynde and Friend in the Atheneum
132,seq40,24,L,9,20,4,2,"", - The Roman Catholic church on Erie st. was robbed of
133,seq40,26,L,9,24,4,2,""," - Messrs. Fuller, Mann, Myers, and others on Euclid"
134,seq40,31,L,9,26,4,3,"", - L. A. Keppner's store on the north side of the
135,seq40,34,L,10,4,4,5,"", - Milton Burke was caught entering the William Tell
136,seq40,37,L,10,5,4,6,""," - Fred Saunders Stone of Indianapolis, who has eluded"
137,seq41,7,L,10,12,4,4,"",", 5 - During the past two months a large number of bur-"
138,seq41,17,L,11,7,4,3,"", - The house of Thomas Kavanaugh on Merwin st. was en-
140,seq41,32,L,12,31,4,2,"", - Burglars attempted to gain entrance through the kitch-
141,seq42,4,L,6,16,2,1,ed, - Secretary Seward told the Senate that the
142,seq42,14,L,11,15,2,3,ed, - An interesting report is given of the progress
143,seq42,27,L,1,6,4,4,"", - The city sexton's report for the month of December
144,seq42,30,L,3,2,4,4,"", - The city sexton's financial report for February
145,seq42,32,L,5,31,4,3,"", - Three apparently respectable ladies were arrested
146,seq42,37,L,6,8,4,4,""," - The May 1 financial report of W. G. Stedman, city"
147,seq42,40,L,7,7,4,3,"", – The city sexton's financial report for June covers
148,seq43,3,L,8,3,4,4,"", - The city sexton's report for July shows 208 inter-
149,seq43,5,L,9,5,4,6,"", - The city sexton's financial report for August
150,seq43,8,L,10,6,4,2,"", - The city sexton's report of interments for Sep-
151,seq43,12,L,11,2,4,5,"", - The city sexton's report of interments for Octo-
152,seq43,15,L,12,7,4,7,"", - The city sexton's financial report for November
153,seq43,22,L,12,8,2,1,ed," - Despite the ravages and desolation of the war,"
154,seq43,35,L,1,14,4,2,"", - The 100th birthday anniversary of Scotland's
155,seq43,38,L,4,20,2,1,ed," - On Apr. 23, 1564, in the town of Stratford-"
156,seq44,10,L,1,7,1,1,ed," - ""The man who invented the child cradle is under"
157,seq44,14,L,1,19,4,2,"", - A baby was left at the doorstep of Mrs. Hinebaugh
158,seq44,17,L,12,2,4,4,"", - After the Toledo train arrived last night a week-
159,seq44,24,L,1,11,2,1,ed, - New Yorkers seem to be awakening to the fact
160,seq44,30,L,1,30,2,1,ed, - The functions of the pulpit should be to de-
161,seq44,38,L,1,30,4,5,"", - At the annual meeting of Sunday schools the fol-
162,seq45,10,L,2,11,2,2,"", - The elegant church edifice erected during the
163,seq45,14,L,2,12,4,2,ed," - Everybody had heard of, though we hope nobody"
164,seq45,21,L,2,24,2,1,ed, - Bishop Ames of the Methodist church and other
165,seq45,27,L,5,9,4,2,"", - A gathering of all Sabbath schools in the city will
166,seq45,30,L,6,13,4,2,"", - Four hundred teachers and students of the Congre-
167,seq45,34,L,6,13,4,3,"", - The Cleveland Sunday School union concert will be
168,seq45,37,L,8,23,3,1,ed, - The pulpit in this country is no longer ham-
169,seq46,10,L,9,17,2,2,"","–4 - In a sermon delivered Sept. 11, the Reverend Mr."
170,seq46,23,L,7,8,4,5,""," - The coachman of Jeff Davis addressed picnicers of , the"
171,seq46,26,L,1,20,2,2,ed, - The question as to whom shall be Bishop Hughes'
172,seq46,31,L,6,21,2,2,ed, - Bishop McCloskey of Albany was appointed Catholic
173,seq46,36,H,12,27,1,2,"", - A pontifical mass was solemnly celebrated yesterday
174,seq46,40,L,1,5,4,5,""," - The Rev. E. P. Ingersoll, formerly of Cleveland, was"
175,seq47,4,L,6,18,4,2,"", - The Rev. J. A. Thome returned after a short absence
176,seq47,8,L,9,12,4,6,"", – An interesting service was held in the new First
177,seq47,14,L,9,28,4,4,"", - The Detroit st. Congregational church has purchased
178,seq47,20,L,3,29,4,4,"", - The following officers were elected at Trinity church
179,seq47,23,L,3,30,4,2,"", - The following were elected to serve St. Paul's church
180,seq47,26,L,3,30,4,2,"", - The election at Grace church resulted as follows:
181,seq47,29,L,11,25,2,3,"","-5 - The Rev. W. Allen Fiske, rector of Grace church,"
182,seq48,5,L,6,11,4,2,"", - Hebrew confirmation exercises were held in the Eagle
183,seq48,9,L,4,27,4,4,"", - Members of the St. Clair st. Methodist Episcopal
184,seq48,12,L,11,23,4,2,"", - A union meeting of the Methodist Episcopal churches
185,seq48,16,L,3,18,4,3,"", - The new organ recently erected in the Third Presby-
186,seq48,22,L,5,28,2,1,ed," - A new school of Presbyterians assembled in Dayton,"
187,seq48,30,L,11,24,4,5,"", - The order of the Union Thanksgiving service held in
188,seq49,9,H,11,25,2,3,""," - The Rev. J. Monteith, jr., deliv red a sermon yester-"
189,seq49,23,L,12,28,4,3,""," - The Rev. T. H. Hawks, D. D., pastor of the Second"
190,seq49,28,L,5,12,4,8,adv, – Thayer and Noyes' circus with Wan Amburgh com-
191,seq49,35,L,5,25,4,2,""," - Thayer and Noyes, proprietors of the most popular cir-"
192,seq49,39,L,5,26,4,2,""," - The Thayer, Noyes, and Wan Amburgh circus with the"
193,seq49,43,L,5,27,4,2,"", - The circus was in full swing arain last night with
194,seq50,6,L,6,29,4,2,"", - Robinson and Howe's mammoth circus drew crowds to
196,seq50,13,L,10,10,4,8,adv," - Dan Rice's Great Show positively one day only,"
197,seq50,16,L,10,25,2,2,ed," - ""In these days when Rebels and Copperheads prate"
198,seq50,26,L,2,22,4,5,"", - A resolution was adopted that the mayor and city.
199,seq50,30,L,4,6,4,4,"", - A resolution was approved to proceed toward the
200,seq50,32,L,4,12,4,2,"", - City council last evening fixed the salaries of city
201,seq51,18,L,4,14,4,2,""," - City council appropriated $500, for Ansel Roberts,"
202,seq51,21,L,4,14,4,3,"", - We take this opportunity of expressing the general
203,seq51,32,L,4,27,4,2,"", - A resolution was adopted: To secure continuance of
206,seq52,4,L,7,21,4,3,"", - The city council adopted the following resolution:
207,seq52,7,L,11,22,4,2,ed," - Charles E. Wilson, energetic and popular chief"
208,seq52,13,L,7,7,2,1,ed," - ""The President's proclamation issued July 5,"
209,seq52,16,L,10,1,1,1,ed," - ""Copperheads"" all over the country are raising a"
210,seq52,21,L,10,13,2,1,ed," – August Belmont protests, in the name of Democ-"
211,seq52,31,L,1,23,2,2,ed, - Wallandigham Fund - The blessed martyr must
212,seq52,37,L,2,20,2,1,ed, - Since the decision of the Supreme Court against
213,seq53,4,L,5,28,1,1,ed,",2 - Wallandigham occupies a suite of rooms at the"
214,seq53,16,L,6,17,2,1,ed, - Wallandigham reappears. He looks upon the
215,seq53,23,L,6,19,2,1,ed, - Wallandigham might be favored with renewed
216,seq53,29,L,10,17,2,1,ed, - A report from Judge Advocate Holt tells of
217,seq53,39,L,7,1,3,5,adv," - Straw Hat Bleaching, Dyeing, Altering, Pressing."
218,seq54,4,L,7,1,3,3,adv," - Ladies Straw Goods, Misses. Straw Goods, Gentle-"
219,seq54,7,L,7,1,2,7,adv," - Cotton Hosiery for Ladies, Gentlemen and, Chil-"
220,seq54,10,L,7,1,3,3,adv, - Gentlemen's Fine Dress Hats. Benedict and Sons.
221,seq54,13,L,7,1,3,3,adv," - Ties, Collars, Scarfs, Shirts. Mott and Haight's,"
222,seq54,15,L,7,1,3,3,adv," - Spring Styles, Gentlemen's Hats and Caps, Whole-"
223,seq54,18,L,2,13,2,4,adv, - Klein and Company have decided to retire from
224,seq54,23,L,7,1,2,7,adv," - Silk Mantil las, Silk Basques, Silk Sacques etc."
225,seq54,25,L,7,1,2,7,adv," - Cloaks at Hower & Higbee's, Black Basques,"
227,seq54,29,L,7,1,3,4,adv, - A Full Stock of Ladies Corsets. Morgan Rood and
228,seq54,31,L,7,1,3,3,adv," - Hats, Caps and Ladies Fancy Furs. E. Stair and"
229,seq54,35,L,1,25,2,2,ed, - A bill was introduced in the Kentucky legisla-
230,seq55,4,L,4,14,2,1,ed, - Many of the great eastern colleges have provided
231,seq55,11,L,6,29,4,3,"", - The gymnasium of the Cleveland university was filled
232,seq55,33,L,8,9,2,1,ed, - Mary young men and women have been graduated
233,seq56,6,H,11,25,3,2,"", Clevelanders listed in the annual catalogue of Yale
234,seq56,8,L,12,3,2,2,ed, – Dedicatory services of Mt. Union college took
235,seq56,19,L,8,8,1,8,ed, – The board of trustees of Ohio university at
236,seq56,27,L,4,8,4,2,"", - The junior exhibition of Western Reserve college will
237,seq56,30,L,7,7,4,3,""," - Commencement is to be observed at Western Reserve,"
238,seq56,32,L,7,18,1,4,"",", 5 - Orations were given at the Western Reserve com-"
239,seq56,36,L,10,14,4,3,ed," - In a letter to the editor, a visitor to the con-"
240,seq57,15,L,5,19,2,2,ed, - A movement to sustain the credit of the nation
241,seq57,19,L,5,20,4,3,"", - Brainard's hall was filled with a large audience in
242,seq57,27,L,6,15,4,3,"", - The recent public meeting in reference to non-impor-
243,seq58,5,L,4,5,4,4,""," - At the annual meeting of the Board of Trade, the fol-"
244,seq58,10,L,3,28,4,3,"", - A young girl from Aurora entered Camp Cleveland
245,seq58,13,L,7,23,4,2,ed, - Boys and full grown men have been seen bathing
246,seq58,19,L,8,18,2,1,ed, - There are but few blessings which men and women
247,seq58,32,L,9,10,4,4,"", - An undersized private appeared at the Provost
248,seq58,41,L,1,6,2,1,ed," - ""The Rebel Senator Brown of Mississippi has gone"
249,seq59,9,L,1,6,2,3,ed," - ""The seizure of so much Rebel currency in New"
250,seq59,14,L,1,8,2,1,ed, - From the general tore of a letter written by the
251,seq59,23,L,1,18,2,1,ed, - Jeff Davis called upon Pope Pius IX and talked
252,seq59,30,L,1,23,2,1,ed,", 2 The Rebel Generals Hardee, Stevenson,"
253,seq59,39,L,1,25,2,1,ed, - The trouble now perplexing Southern Rebels is
254,seq60,4,L,1,27,2,1,ed,", 2 - Governor Letcher, who defended the Rebellion,"
255,seq60,13,L,2,4,2,1,ed, - School books found on the captured blockade run-
256,seq60,21,L,2,11,2,3,ed, - General Grant says that the non-slaveholders of
257,seq60,26,L,2,13,2,1,ed," - The Reverend Dr. Elliott, commended as a patri-"
258,seq60,36,L,2,18,3,2,ed, - The most impudent farce of the day is being
259,seq60,41,L,2,22,4,3,ed," - Rebels reduced to bacon, corn-butternut, and"
260,seq61,4,L,2,29,2,1,ed," - Rebel agents in England and France, fearful"
261,seq61,9,L,3,9,2,1,ed, - Jeff Davis has suppressed the Raleigh STANDARD.
262,seq61,14,L,3,10,2,1,ed, - The terrible despotism of Jeff Davis is driv-
263,seq61,18,L,4,7,2,2,ed, - The holders of Rebel bonds in England are felici-
264,seq61,24,L,9,20,2,2,ed, - News from Southern papers indicates that the
265,seq61,30,L,10,5,2,4,ed," - ""The laborer who proposes to vote for Jeff"
267,seq62,4,L,10,14,2,3,ed, - The proposed arming of slaves by Rebels is the
268,seq62,14,L,10,24,2,1,ed, - Public sentiment in the South for arming slaves
269,seq62,23,L,11,1,2,1,ed," - In a recent speech made by Davis at Columbia,"
270,seq62,30,L,11,2,2,2,ed, - Jeff Davis has set aside Nov. 16 as a day for
271,seq62,40,L,11,4,2,1,ed, - It is officially announced in Southern papers
272,seq63,3,L,11,9,2,1,ed, - The New York NEWS has undertaken the defense
273,seq63,17,L,11,12,2,1,ed, - From editorials written in Southern newspapers
274,seq63,23,L,11,15,2,1,ed, – Jeff Davis' message to tile Rebel Congress
275,seq63,33,L,11,15,2,2,ed, - The disorganization in the Rebel ranks is very
276,seq63,38,L,11,16,2,1,ed,", 2 - James A. Seddon, the Rebel Secretary of war,"
277,seq64,16,L,11,17,2,1,ed, - Governor Brown of Georgia is between two fires
278,seq64,27,L,11,30,2,1,ed, - The proposition of the Richmond DISPATCH to
279,seq64,33,L,12,3,2,2,ed, - By clever management during the early stages
280,seq64,41,L,12,5,2,2,ed, - Governor Watts of Alabama expresses confidence
281,seq64,45,L,12,20,2,1,ed," - ""The Rebel Congress is agitating the subject"
282,seq65,4,L,12,26,2,2,ed, - The results of the recent military operations
283,seq65,12,L,12,26,2,2,ed," - ""Foreign advices represent the Rebel loan as"
284,seq65,16,L,12,29,2,1,ed, - With the idea of a military dictator for the
285,seq65,27,L,2,17,2,1,ed, - Sumner offers the following amendments to the
286,seq65,35,L,3,24,2,1,ed, - The following joint resolution was submitted
287,seq66,4,L,6,18,2,1,ed, - The recent vote by which the constitutional
288,seq66,15,L,12,14,2,2,ed," - The national boor, Garret Davis of Kentucky,"
289,seq66,29,L,10,13,2,2,ed," - If the constitution, framed at Annapolis, is"
290,seq66,38,L,11,14,2,1,ed, - The adoption of the new constitution of
291,seq67,4,L,12,3,2,1,ed, - The subject of organizing cooperative societies
292,seq67,16,L,2,2,4,2,ed, - Beware of counterfeit fives on the North Adams
293,seq67,20,L,2,18,4,2,ed, - Counterfeit greenbacks altered from $2 to $50
294,seq67,23,L,4,25,4,3,ed, - Mexican dollars were discovered lying upon the
295,seq67,27,L,5,5,4,4,""," - David Gilbert, arrested in Newburgh on a charge of"
296,seq67,30,L,5,21,3,2,ed, - The first forger of Bank-of-England notes was
297,seq67,35,L,5,28,4,2,""," - Henry S. Brown, charged with having counterfeit"
298,seq67,37,L,5,31,4,2,""," - Henry S. Brown, arrested for passing counterfeit"
299,seq68,4,L,6,21,4,3,""," - George S. Wells, arrested yesterday for passing"
300,seq68,6,L,7,3,4,3,""," - Henry S. Brown, convicted of counterfeiting, must"
301,seq68,12,L,1,25,4,2,"", - Fred S. Smith resigned as deputy county clerk.
302,seq68,18,L,1,16,4,3,"", - The case of Eugene Gardner and Lysander Pelton
455,seq69,4,L,8,22,2,2,ed, - Speculation in butter is causing indignation
456,seq69,12,L,1,18,4,4,""," - In a letter to the editor, J. F. Lawrence says:"
457,seq69,18,L,3,29,4,3,"", ... A coroner's inquest was held following the find-
458,seq69,22,L,3,31,4,2,"", - The steam dredge working on the river channel
460,seq69,29,L,6,13,4,2,"", - The inquest in connection with the drowning of a
461,seq69,32,L,11,23,4,4,"", - An unknown man was found dead yesterday in a
462,seq69,40,L,9,30,4,2,""," - Captain Abram Gift, 169th 0. N. G., was arrested"
463,seq70,6,L,2,1,4,3,""," - A horse attached to a wagon on Ontario st., near"
464,seq70,11,L,2,19,2,2,""," - In a letter to the editor, the 29th veteran volun-"
465,seq70,16,H,2,23,1,4,"", - A young boy was run over by an East Cleveland
466,seq70,19,L,3,11,4,3,"", – Mrs. Baker was seriously burned while cleaning
467,seq70,22,L,3,12,4,2,""," - Henry Wilson, who fell into the Cuyahoga river,"
468,seq70,24,L,3,12,4,2,"", - John McElroy was stabbed while playing with a
469,seq70,27,L,3,22,4,2,"", - Sheriff Lewis was badly injured when he and
470,seq70,31,L,3,30,4,3,"", - Captain McBride missed death by inches when the
471,seq70,35,L,4,11,4,3,""," - An elderly woman, about 60, fell into the river"
472,seq70,37,L,4,18,4,3,"", - A scow was caught in the railroad bridge across
473,seq71,4,L,4,22,4,2,"", - The four-year old son of P. McCann was run over
474,seq71,6,L,5,23,4,3,""," – R. R. Campbell, a watchman from the Cleveland and"
475,seq71,12,L,5,26,4,2,""," - A little boy named Truei ove. S. Hull, age eight -"
476,seq71,15,L,5,28,4,4,""," - Yesteriay, a boiler used in the kitchen of the"
477,seq71,18,L,5,28,4,5,"", - While a team of horses attached to an empty wood-
478,seq71,21,L,5,28,4,5,"", - A team of horses attached to a wagon ran away on
479,seq71,24,L,6,4,4,4,""," - A 64-year Cld lady named Dahler, living on Lorain"
480,seq71,27,L,6,6,4,3,""," - A horse was frightened at the foot of Wineyard st.,"
481,seq71,30,L,6,13,4,2,""," - Yesterday, a runaway occurred on Pittsburgh st."
482,seq71,33,L,6,14,4,5,"", - The small son of the Rev. J. H. Rylance climbed
483,seq71,36,L,6,15,4,2,""," - A little boy named Murphy, living in the neighbor-"
484,seq71,39,L,6,17,4,2,"", - James Clark of Cleveland was killed cn June 15 at
485,seq72,4,L,6,19,2,1,ed, - The verdict rendered in the case of the ter-
486,seq72,10,L,6,22,4,3,""," – Louis Mellan, eight, son of Mr. Mellan of the firm"
487,seq72,13,L,6,28,4,2,""," - John Rutledge, who lived on Bridge st., and was"
488,seq72,16,L,6,28,4,4,""," - George Fisher, son of John Fisher, a saloon keeper"
489,seq72,19,L,7,4,4,6,"", – A driver on the Kinsman st. railway fell from a
490,seq72,21,H,7,5,1,4,"", - Yesterday a span of horses attached to a carriage
491,seq72,24,H,7,5,3,7,""," – Jchn Badger, 20, who was injured yesterday on the"
492,seq72,27,L,7,9,4,4,""," - Rosa Kregar, 142 River st., was run over by a wagon"
493,seq72,30,L,7,14,4,5,"", - Detective M. Gallagher slipped and fell as he was
434,seq72,33,L,7,15,3,3,""," - On July 11, a Mr. Schoger and his wife, who live"
495,seq72,38,L,7,18,4,3,""," - On July 16, the south portion of the Center block,"
496,seq73,4,L,7,20,4,2,"", - The body found in the river on July 18 near Light-
497,seq73,6,L,7,30,4,5,"", - John Tarry of Strongsville was instantly killed
498,seq73,9,H,8,5,3,3,"", - Three boys were drowned yesterday while bathing in
499,seq73,12,L,8,13,4,3,""," - On Aug. 11, while William Ale, sr., of Rockport,"
500,seq73,17,L,8,16,4,2,""," - A seven-year old boy, the son of Irish parents,"
501,seq73,21,L,8,29,4,3,""," - A 12-year old boy, the son of a man named Southern,"
502,seq73,24,L,9,2,4,3,"", - During the display of rockets at the Democratic
503,seq73,29,L,9,16,4,4,"", - The Medina stage coach turned over at the foot of
504,seq73,32,L,9,28,4,4,"", - A serious accident occurred on the west side to-
